decile,row_count,default_count,default_rate,min_score,max_score,cumulative_default_count,cumulative_default_capture
1,30752,9330,0.303394901144641,0.7152727652057088,0.9791414142437829,9330,0.3758308157099698
2,30751,4815,0.15658027381223374,0.5956537792772272,0.7152662381906334,14145,0.5697885196374622
3,30751,3287,0.10689083281844493,0.5000041028059029,0.5956528981443148,17432,0.702195367573011
4,30751,2218,0.07212773568339241,0.41781034499526915,0.49999577937052553,19650,0.7915407854984894
5,30751,1646,0.053526714578387695,0.3472288936470357,0.41780919187689664,21296,0.8578449144008057
6,30751,1255,0.04081168092094566,0.2842661636157024,0.3472264808261494,22551,0.9083987915407855
7,30751,871,0.02832428213716627,0.22706483210746764,0.2842606749154058,23422,0.943484390735146
8,30751,714,0.0232187571135898,0.1737491988851375,0.2270643351911647,24136,0.972245720040282
9,30751,419,0.013625573152092615,0.11864688994145946,0.1737474837723014,24555,0.9891238670694864
10,30751,270,0.008780202269844883,0.007071022930192594,0.11863847705542735,24825,1.0
